product_name,product_category_tree,brand,retail_price,discounted_price,product_rating,discount_percentage
Jack klein BlackLed Digital Watch  - For Boys,"[""Watches >> Wrist Watches >> Jack klein Wrist Watches""]",,999.0,150.0,1.0,84.98
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women","[""Watches >> Wrist Watches >> North Moon Wrist Watches""]",,235.0,150.0,2.3,36.17
Foot Candy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2899.0,1699.0,,41.39
Credos Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,4499.0,3499.0,,22.23
"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Rich Club Wrist Watches""]",,999.0,149.0,,85.09
"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Skmei Wrist Watches""]",,2499.0,1699.0,,32.01
"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys","[""Watches >> Wrist Watches >> Kms Wrist Watches""]",,1395.0,350.0,,74.91
Anand Archies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,499.0,499.0,,0.0
Magnum Footwear Lifestyle Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2999.0,1899.0,,36.68
Swag 670038 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Swag Wrist Watches""]",,2499.0,899.0,,64.03
Bonzer Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,999.0,499.0,,50.05
Roadster Skinny Fit Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Roadster Jeans""]",Skinny Fit,2499.0,1249.0,3.0,50.02
